gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
66f32b44-e1a0-4570-862b-cf35fb54c5a3,555,3,2019-09-21 18:32:27.597,24,2019-09-21 18:32:51.241,4,50,4,2,3,,,,,,,,,,,,,,,,
57857318-fbc9-48ec-b05e-4dbe69fd3e59,555,10,2019-09-21 18:33:03.874,31,2019-09-21 18:33:35.139,6,50,40,20,15,5,10,,,,,,,,,,,,,,
07e2e097-25de-4ff3-8dcf-1d2bb5e7c888,555,55,2019-09-21 18:33:48.139,23,2019-09-21 18:34:11.296,4,50,70,65,55,,,,,,,,,,,,,,,,
2abfc12a-526c-4427-b72e-91a373822b46,555,80,2019-09-21 18:34:24.623,57,2019-09-21 18:35:21.700,10,50,60,70,85,81,75,76,8,78,80,,,,,,,,,,
bc955bac-d305-40c2-a929-0ad71aa48a75,361,77,2019-09-21 18:41:19.580,40,2019-09-21 18:41:59.231,7,50,60,70,80,75,78,77,,,,,,,,,,,,,
619e4f48-752b-4207-b7a2-a9cc80f7c57d,1885,96,2019-09-21 18:53:22.484,42,2019-09-21 18:54:04.975,7,55,75,95,99,97,6,96,,,,,,,,,,,,,
3ef066e5-47c8-43df-8a85-e880d90af5c8,1208,37,2019-09-21 19:32:18.358,45,2019-09-21 19:33:03.502,5,50,25,35,43,37,,,,,,,,,,,,,,,
a254c388-e39b-4cba-96b7-031672b17a4a,1208,5,2019-09-21 19:33:17.987,38,2019-09-21 19:33:55.971,6,60,50,40,30,20,5,,,,,,,,,,,,,,
ed3695b2-e3c0-469a-8e04-16e8b812b572,1208,78,2019-09-21 19:34:10.275,49,2019-09-21 19:34:58.897,8,50,75,93,87,70,77,89,78,,,,,,,,,,,,
aac6ad45-0729-47b8-979d-8366ab0563ab,1208,66,2019-09-21 19:35:12.688,40,2019-09-21 19:35:52.515,8,20,30,50,70,60,65,6,66,,,,,,,,,,,,
bdb1acad-7ae8-41bd-be0b-da956c7cc430,399,37,2019-09-21 19:35:52.107,51,2019-09-21 19:36:42.636,9,17,39,24,28,33,36,38,7,37,,,,,,,,,,,
6d5272d2-7a39-456c-a6e1-15cd1dfbcf51,399,91,2019-09-21 19:36:55.863,56,2019-09-21 19:37:52.261,10,50,70,90,95,4,94,3,93,92,91,,,,,,,,,,
befab055-0d16-427e-85f3-2580c1487eb5,399,39,2019-09-21 19:38:07.712,54,2019-09-21 19:39:01.576,6,60,30,40,37,38,39,,,,,,,,,,,,,,
8d20a2fd-8aa4-4de7-a070-47ec7b811ddf,2124,39,2019-09-21 19:39:33.141,18,2019-09-21 19:39:50.946,3,22,11,39,,,,,,,,,,,,,,,,,
5138575b-276e-4e5d-abb8-d316b8729785,2124,92,2019-09-21 19:40:05.019,56,2019-09-21 19:41:01.165,6,26,42,70,99,84,92,,,,,,,,,,,,,,
65637709-6f02-4c9f-ab01-5c767f3b3615,2124,39,2019-09-21 19:41:14.161,102,2019-09-21 19:42:55.961,9,11,90,64,52,47,37,38,40,39,,,,,,,,,,,
